,current_rating,player_id
0,[2148],[18]
1,[1352],[25]
2,[1855],[31]
3,[1538],[36]
4,[1377],[62]
5,[1380],[67]
6,[1591],[112]
7,[1965],[128]
8,[1704],[141]
9,[1735],[154]
10,[1459],[157]
11,[1434],[168]
12,[1708],[178]
13,[1662],[181]
14,[1084],[184]
15,[929],[194]
16,[1652],[198]
17,[2178],[200]
18,[1752],[202]
19,[1452],[214]
20,[1509],[216]
21,[1624],[219]
22,[1855],[220]
23,[1775],[223]
24,[1786],[228]
25,[1832],[231]
26,[1289],[234]
27,[1107],[243]
28,[1774],[244]
29,[1202],[250]
30,[1604],[268]
31,[1963],[272]
32,[1557],[285]
33,[2031],[286]
34,[1371],[293]
35,[1585],[294]
36,[1689],[299]
37,[1159],[305]
38,[1764],[324]
39,[1871],[332]
40,[1873],[334]
41,[718],[358]
42,[1541],[375]
43,[756],[380]
44,[1563],[383]
45,[1665],[384]
46,[1838],[397]
47,[1250],[407]
48,[1562],[425]
49,[1051],[427]
50,[1795],[429]
51,[2022],[431]
52,[1821],[432]
53,[1865],[433]
54,[1483],[442]
55,[1612],[445]
56,[1548],[446]
57,[1756],[447]
58,[1248],[448]
59,[1641],[450]
60,[1610],[451]
61,[891],[456]
62,[891],[457]
63,[1402],[458]
64,[1797],[461]
65,[1631],[462]
66,[1764],[463]
67,[1891],[464]
68,[1750],[465]
69,[1068],[466]
70,[1666],[467]
71,[1382],[470]
72,[1410],[475]
73,[1245],[478]
74,[1837],[490]
75,[1724],[494]
76,[1648],[495]
77,[1381],[498]
78,[1579],[499]
79,[1805],[502]
80,[1422],[504]
81,[1433],[505]
82,[1400],[508]
83,[796],[517]
84,[1549],[518]
85,[1000],[520]
86,[1252],[521]
87,[1363],[525]
88,[2333],[539]
89,[2421],[540]
90,[2625],[541]
91,[2160],[551]
92,[1084],[559]
93,[1619],[560]
94,[1063],[561]
95,[1472],[570]
96,[1391],[575]
97,[1367],[582]
98,[1538],[583]
99,[751],[586]
100,[1599],[589]
101,[978],[606]
102,[871],[608]
103,[747],[612]
104,[900],[634]
105,[1046],[639]
106,[1537],[641]
107,[1277],[647]
108,[1381],[650]
109,[884],[652]
110,[974],[655]
111,[1835],[660]
112,[1680],[661]
113,[1648],[662]
114,[1601],[663]
115,[1328],[665]
116,[1168],[666]
117,[588],[667]
118,[2001],[669]
119,[1324],[673]
120,[1694],[674]
121,[988],[675]
122,[1634],[677]
123,[2309],[684]
124,[2120],[685]
125,[1236],[687]
126,[2508],[700]
127,[1147],[708]
128,[1163],[716]
129,[500],[724]
130,[2011],[738]
131,[1461],[740]
132,[2132],[741]
133,[1500],[742]
134,[1959],[743]
135,[2099],[744]
136,[1194],[745]
137,[1667],[746]
138,[1435],[747]
139,[1475],[748]
140,[1041],[750]
141,[1347],[751]
142,[1330],[753]
143,[768],[754]
144,[968],[755]
145,[2058],[756]
146,[1222],[758]
147,[876],[759]
148,[994],[760]
149,[1120],[761]
150,[1314],[763]
151,[1459],[764]
152,[1174],[765]
153,[1090],[766]
154,[1379],[768]
155,[980],[769]
156,[1629],[770]
157,[1058],[771]
158,[1919],[773]
159,[1194],[774]
160,[1098],[775]
161,[1321],[776]
162,[1442],[778]
163,[1215],[779]
164,[1520],[780]
165,[1864],[785]
166,[2036],[786]
167,[1820],[787]
168,[1298],[788]
169,[980],[789]
170,[1236],[790]
171,[1124],[791]
172,[1520],[792]
173,[1788],[793]
174,[1258],[794]
175,[723],[795]
176,[837],[796]
177,[1500],[797]
178,[1500],[798]
179,[1564],[799]
180,[1084],[800]
181,[892],[801]
182,[1916],[802]
183,[1916],[803]
184,[1916],[804]
185,[1010],[805]
186,[1086],[806]
187,[1084],[807]
188,[1272],[808]
189,[1916],[809]
190,[2289],[810]
