player_id,1,2,3,4,5,6,7,8,9,10,current_rating,level,lda_score,level_revaluated,num_records,level_change
18,0.0,0.7550429939417628,0.7195263975155279,0.661623517230455,0.6208068537983342,0.5544992563490915,0.5834613415258576,0.3529411764705882,0.0,0.0,2148,7,0.6831566548881036,7,849,0
25,0.0,0.0,0.6734693877551021,0.5172413793103449,0.3816091954022989,0.0,0.0,0.0,0.0,0.0,1352,4,0.6009756097560975,4,3075,0
31,0.0,0.7333333333333333,0.7674418604651163,0.7416666666666667,0.0,0.4752976190476191,0.2978723404255319,0.0,0.0,0.0,1855,6,0.6480099502487562,6,1608,0
36,0.0,0.0,0.0,0.5119313214832082,0.0,0.0,0.0,0.0,0.0,0.0,1538,4,0.4837561881188119,4,6464,0
62,0.0,0.0,0.5930335097001764,0.4383561643835616,0.47162828947368424,0.0,0.0,0.0,0.0,0.0,1377,4,0.6009756097560975,4,3075,0
67,0.0,0.0,0.0,0.4964387464387464,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,1380,4,0.5316939890710383,4,3660,0
112,0.0,0.66,0.66,0.4752907231684002,0.44799631564337455,0.3805263157894736,0.2666666666666667,0.0,0.0,0.0,1591,4,0.6681318681318681,4,1365,0
128,0.0,0.63199476138791,0.6550707547169812,0.6,0.6173758865248228,0.43661971830985913,0.43327702702702703,0.0,0.0,0.0,1965,6,0.6681318681318681,6,1365,0
141,0.0,0.0,0.7215909090909091,0.6139178617992177,0.0,0.5753424657534246,0.0,0.38749999999999996,0.0,0.0,1704,5,0.607826810990841,7,1201,2
154,0.0,0.0,0.7104166666666667,0.5584415584415584,0.6140350877192983,0.38888888888888884,0.4285714285714286,0.0,0.0,0.0,1735,5,0.6583050847457627,5,1475,0
157,0.0,0.6197889412175127,0.6171558540037063,0.49294001088339917,0.45900653645330003,0.4098737083811711,0.38888888888888884,0.0,0.0,0.0,1459,4,0.6681318681318681,4,1365,0
168,0.0,0.0,0.578426640926641,0.4558823529411765,0.0,0.4337349397590361,0.0,0.0,0.0,0.0,1434,4,0.6119021540708288,4,2739,0
178,0.0,0.0,0.559322033898305,0.0,0.0,0.473392634207241,0.44067796610169496,0.0,0.0,0.0,1708,5,0.5749486652977412,6,1948,1
181,0.0,0.7256076310070687,0.6590861344537815,0.6013737738419055,0.5774647887323944,0.44841139102722183,0.4,0.0,0.0,0.0,1662,5,0.6681318681318681,6,1365,1
184,0.0,0.0,0.0,0.2666666666666667,0.5034324942791761,0.35624999999999996,0.0,0.0,0.0,0.0,1084,3,0.5803024111156518,2,2447,1
194,0.0,0.6226415094339622,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929,2,0.5364157830697027,3,5753,1
198,0.0,0.7021276595744681,0.5882352941176471,0.5249384305594024,0.5714285714285714,0.3781028368794326,0.3934025919096995,0.0,0.0,0.0,1652,5,0.6681318681318681,5,1365,0
200,0.0,0.0,0.66,0.6886317907444668,0.5769230769230769,0.5679012345679012,0.0,0.0,0.0,0.0,2178,7,0.6373471307619943,7,2126,0
202,0.0,0.7503875968992249,0.6408569500674764,0.6599031408990964,0.4672652248059033,0.42256168776420416,0.28260869565217406,0.0,0.0,0.0,1752,5,0.6681318681318681,5,1365,0
214,0.0,0.7021276595744681,0.6679106458831114,0.0,0.40195876288659793,0.33999999999999997,0.0,0.0,0.0,0.0,1452,4,0.6110318592486923,4,2103,0
216,0.0,0.569620253164557,0.0,0.4,0.0,0.4,0.2325581395348837,0.0,0.0,0.0,1509,4,0.6076794657762938,3,1797,1
219,0.0,0.6672794117647058,0.0,0.6202711804628585,0.5560787671232876,0.4397787397787398,0.2325581395348837,0.0,0.0,0.0,1624,5,0.6335113484646195,5,1498,0
220,0.0,0.7433583596040042,0.6258436194384165,0.6355608657437926,0.5855723444481067,0.4818819173657884,0.40020279055018226,0.0,0.0,0.0,1855,6,0.6681318681318681,6,1365,0
223,0.0,0.0,0.0,0.5935215946843854,0.6666666666666666,0.33999999999999997,0.0,0.0,0.0,0.0,1775,5,0.5803024111156518,5,2447,0
228,0.0,0.6875,0.6734693877551021,0.6292655924435236,0.518359566540828,0.4410152347652348,0.4137931034482759,0.0,0.0,0.0,1786,5,0.6681318681318681,5,1365,0
231,0.0,0.7125295508274231,0.675,0.5646758703481394,0.5522146779025685,0.531543427230047,0.0,0.0,0.0,0.0,1832,6,0.6433420365535248,6,1915,0
234,0.0,0.638942617666022,0.0,0.0,0.3529411764705882,0.31991525423728806,0.3265306122448979,0.0,0.0,0.0,1289,3,0.5899324739103745,3,1629,0
243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107,3,0.0,0,0,3
244,0.0,0.0,0.0,0.5108695652173914,0.0,0.0,0.0,0.0,0.0,0.0,1774,5,0.4837561881188119,4,6464,1
250,0.0,0.6733933812518719,0.5260433258999682,0.4548872180451128,0.3647578347578347,0.0,0.0,0.0,0.0,0.0,1202,3,0.6038230884557722,3,2668,0
268,0.0,0.6875,0.6100543478260869,0.5621002132196162,0.5555555555555556,0.4107142857142857,0.0,0.0,0.0,0.0,1604,5,0.6433420365535248,5,1915,0
272,0.0,0.0,0.7502583979328166,0.6556639677147456,0.5954011122036214,0.578251849404887,0.4785164377861008,0.0,0.4,0.0,1963,6,0.6631578947368421,7,570,1
285,0.0,0.0,0.0,0.634850166481687,0.0,0.0,0.4277124183006536,0.0,0.0,0.0,1557,4,0.544128646222887,6,2674,2
